id,importe,descripcion,iban,fechaImporte
167,-2.85,trabajo-cafe,BBVA*3853,24/10/23
168,-3.05,trabajo-cafe,BBVA*3853,24/10/23
169,-30.00,Bizum Miquel gasolina,BBVA*3853,25/10/23
170,-13.45,Higuiene dental,BBVA*3853,25/10/23
171,-11.04,Seguro BBVA,BBVA*3853,25/10/23
172,-7.45,trabajo-desayuno,BBVA*3853,25/10/23
173,-2.95,trabajo-cafe,BBVA*3853,25/10/23
174,-1.45,residencia-cafe,BBVA*3853,25/10/23
175,-12.99,Formacion  Kotlin,BBVA*3853,25/10/23
176,-12.09,Alimentacion,BBVA*3853,26/10/23
177,-1.60,trabajo-cafe,BBVA*3853,26/10/23
178,-5.50,trabajo-desayuno,BBVA*3853,26/10/23
179,-1.60,trabajo-cafe,BBVA*3853,27/10/23
180,-6.10,trabajo-desayuno,BBVA*3853,27/10/23
181,-22.46,Alimentacion,BBVA*3853,28/10/23
